month,customer_type,users
2016-09,New,4
2016-10,New,321
2016-10,Repeat,3
2016-12,New,1
2017-01,New,764
2017-01,Repeat,21
2017-02,New,1752
2017-02,Repeat,22
2017-03,New,2636
2017-03,Repeat,39
2017-04,New,2352
2017-04,Repeat,41
2017-05,New,3596
2017-05,Repeat,85
2017-06,New,3139
2017-06,Repeat,92
2017-07,New,3894
2017-07,Repeat,108
2017-08,New,4184
2017-08,Repeat,120
2017-09,New,4130
2017-09,Repeat,134
2017-10,New,4470
2017-10,Repeat,142
2017-11,New,7304
2017-11,Repeat,206
2017-12,New,5487
2017-12,Repeat,161
2018-01,New,7025
2018-01,Repeat,220
2018-02,New,6451
2018-02,Repeat,236
2018-03,New,6965
2018-03,Repeat,218
2018-04,New,6711
2018-04,Repeat,214
2018-05,New,6622
2018-05,Repeat,239
2018-06,New,5940
2018-06,Repeat,210
2018-07,New,6071
2018-07,Repeat,193
2018-08,New,6271
2018-08,Repeat,227
2018-09,New,5
2018-09,Repeat,9
2018-10,New,1
2018-10,Repeat,3
